x,y,z
15.891579,13.200366,14.353613
15.574038,13.094309,14.399397
15.577365,13.036631,14.232675
15.72549,13.100451,14.273444
15.773016,12.73397,14.532584
15.791484,13.115781,14.458033
15.824547,13.293027,14.326694
15.464649,13.100671,14.434515
15.731785,12.889328,14.490243
15.412806,13.050223,14.267929
15.555932,13.113318,14.309732
15.675625,13.1439495,14.209478
15.841108,13.250751,14.233511
15.799198,12.961628,14.14715
15.608052,13.200489,14.228007
16.167696,13.300966,14.363783
15.559507,13.129304,14.131993
15.642705,13.170345,14.430353
15.76663,13.198721,14.055241
15.625478,13.418861,14.279774
15.811412,12.88695,14.275583
15.480536,12.937613,14.339155
15.6503315,13.105028,14.04494
15.692571,13.044409,14.4981165
15.579858,13.179064,14.159593
15.886579,13.093735,14.482712
15.865639,13.218594,14.149189
15.869122,13.172984,14.378246
15.599474,13.0280285,14.175519
15.761427,12.901431,14.412652
15.858345,13.332183,14.6050415
15.738255,12.996932,14.18818
15.42921,13.139263,14.272273
15.796616,13.152618,14.361202
15.364679,13.09222,14.06619
15.822368,13.2365885,14.190439
15.981471,12.881926,14.276331
15.792882,13.184431,14.399912
15.641885,13.231161,14.170328
15.723522,12.974635,14.228617
15.766132,13.296201,14.387758
15.736943,13.293911,14.387217
15.836784,13.227091,14.233547
15.5314,13.277231,14.524953
15.682796,13.201418,14.182311
15.65326,12.937312,14.078749
15.820258,12.682616,14.555849
15.743151,12.859265,14.318794
15.820146,13.101359,14.447619
15.6647415,13.15383,14.463299
15.737465,12.910763,14.23935
15.797757,13.108712,14.0164
15.673596,13.265676,14.449884
15.583669,13.153098,13.998376
15.926786,13.022707,14.453439
15.507776,13.030372,14.616157
15.758026,13.212743,14.395599
15.782736,13.109289,14.404595
15.61111,12.890057,14.132853
15.653845,12.947424,14.285387
15.517819,13.3867035,14.402782
15.632644,12.847138,14.426308
15.744991,13.138002,14.251421
15.383892,13.090654,14.154978
15.570126,13.378165,14.4727745
15.703071,13.386145,14.632123
15.67425,12.913838,14.756761
15.408637,13.158522,14.247763
15.6425085,13.136733,14.5319805
15.898906,13.1566925,14.202318
15.979777,13.267739,14.107819
15.684114,13.30964,14.287828
15.895223,13.185298,14.30994
15.820972,13.059713,14.319875
15.6488285,13.168494,14.424042
15.810174,13.536787,14.367348
15.709305,13.044995,14.32794
15.6173,13.08662,14.57436
15.8026495,13.286345,14.110775
15.585525,13.056382,14.457522
15.853473,12.965163,14.201811
15.566721,13.189271,14.120759
15.695655,13.114539,14.419631
15.679497,13.228034,14.369704
15.832734,13.0990305,14.382235
15.941873,13.220533,14.548298
15.758518,13.04676,14.366385
15.652597,13.152477,14.261047
15.703969,13.272848,14.495397
15.760887,13.141594,14.449776
15.797839,12.846713,14.286031
15.628011,13.267232,14.269997
15.377129,12.940427,14.348066
15.349444,12.857905,14.276513
15.382428,13.487704,14.386377
15.495705,13.287765,14.262302
15.505666,13.179616,14.252226
15.782324,13.084347,14.370153
15.731599,13.232086,14.580941
15.992435,13.122744,14.378271
15.467183,13.073538,14.45906
15.506488,13.335438,14.455816
15.97607,13.267951,14.298685
15.700087,12.963973,13.997899
15.721767,13.122391,14.320546
15.755978,13.150729,14.364928
15.3773365,13.161714,14.108478
15.766131,13.1784315,14.246809
15.681025,13.008514,14.211012
15.695951,13.251782,14.592259
15.817308,13.055565,14.206898
15.745843,13.026967,14.078438
15.66077,13.125465,14.64694
15.7462435,12.955763,14.468765
15.624067,13.334712,14.114384
15.835798,13.163364,14.417207
15.600344,12.904922,14.141266
15.774957,13.19147,14.428401
15.547204,13.41622,14.328954
15.748621,13.000254,14.095196
15.52597,13.102881,14.450111
15.8641405,13.061902,14.34253
15.437965,13.271683,14.441021
15.771247,13.306921,14.114716
15.42731,13.131039,14.166129
15.654947,13.261757,14.303787
15.729122,13.299271,14.319543
15.592621,12.703121,14.354143
15.461492,13.303374,14.372222
15.681023,13.380555,14.24845
15.688213,13.1368065,14.518615
15.9955015,12.858812,14.555507
15.6099415,13.244327,14.0652
15.5224085,13.102746,14.1903925
15.75926,12.90064,14.228914
15.684041,13.216551,14.335787
15.940696,13.343962,14.344571
15.372804,13.191091,14.277074
15.522197,12.936818,14.431576
15.531838,13.229411,14.497685
15.646753,13.116875,14.065398
15.660784,13.206728,14.353576
15.67434,13.103344,14.060188
15.836034,13.193459,14.146674
15.784839,12.904617,14.307759
15.8337,13.109144,14.161703
15.662709,13.010082,14.34025
15.424989,12.70702,14.094815
15.610743,13.371461,14.265096
15.698719,13.00758,14.402556
15.991966,13.283648,13.960843
15.645154,13.324608,14.566593
15.704416,13.3741255,14.548095
15.438537,13.184667,14.363893
15.8201885,13.128509,14.409827
15.821483,13.1788,14.235272
15.20091,13.224562,14.135157
15.699684,13.190479,14.14132
15.488599,13.356313,14.228586
15.657964,13.123318,13.9748745
15.780463,13.237442,14.131403
15.660618,12.955075,14.249613
15.635322,13.268728,14.319963
15.77558,13.310157,14.320114
15.454529,13.126859,14.322627
15.582441,13.35766,14.359026
15.62386,13.338894,14.143127
15.650502,13.117398,14.239877
15.560918,12.948856,14.255899
15.532483,13.02486,14.442342
15.46609,13.142413,14.120899
15.660996,13.113052,14.1398535
15.588504,13.252049,14.516134
